No.  Resultado    n_1/i     n_2/i      n_3/i       n_4/i     n_5/i      n_6/i
1        5        0.0        0.0        0.0        0.0        1.0        0.0
2        6        0.0        0.0        0.0        0.0        0.5        0.5
3        6        0.0        0.0        0.0        0.0        0.3333333333333333        0.6666666666666666
4        3        0.0        0.0        0.25        0.0        0.25        0.5
5        4        0.0        0.0        0.2        0.2        0.2        0.4
6        3        0.0        0.0        0.3333333333333333        0.16666666666666666        0.16666666666666666        0.3333333333333333
7        1        0.14285714285714285        0.0        0.2857142857142857        0.14285714285714285        0.14285714285714285        0.2857142857142857
8        1        0.25        0.0        0.25        0.125        0.125        0.25
9        3        0.2222222222222222        0.0        0.3333333333333333        0.1111111111111111        0.1111111111111111        0.2222222222222222
10        4        0.2        0.0        0.3        0.2        0.1        0.2
11        1        0.2727272727272727        0.0        0.2727272727272727        0.18181818181818182        0.09090909090909091        0.18181818181818182
12        5        0.25        0.0        0.25        0.16666666666666666        0.16666666666666666        0.16666666666666666
13        5        0.23076923076923078        0.0        0.23076923076923078        0.15384615384615385        0.23076923076923078        0.15384615384615385
14        3        0.21428571428571427        0.0        0.2857142857142857        0.14285714285714285        0.21428571428571427        0.14285714285714285
15        3        0.2        0.0        0.3333333333333333        0.13333333333333333        0.2        0.13333333333333333
16        4        0.1875        0.0        0.3125        0.1875        0.1875        0.125
17        2        0.17647058823529413        0.058823529411764705        0.29411764705882354        0.17647058823529413        0.17647058823529413        0.11764705882352941
18        6        0.16666666666666666        0.05555555555555555        0.2777777777777778        0.16666666666666666        0.16666666666666666        0.16666666666666666
19        4        0.15789473684210525        0.05263157894736842        0.2631578947368421        0.21052631578947367        0.15789473684210525        0.15789473684210525
20        3        0.15        0.05        0.3        0.2        0.15        0.15
21        6        0.14285714285714285        0.047619047619047616        0.2857142857142857        0.19047619047619047        0.14285714285714285        0.19047619047619047
22        2        0.13636363636363635        0.09090909090909091        0.2727272727272727        0.18181818181818182        0.13636363636363635        0.18181818181818182
23        5        0.13043478260869565        0.08695652173913043        0.2608695652173913        0.17391304347826086        0.17391304347826086        0.17391304347826086
24        6        0.125        0.08333333333333333        0.25        0.16666666666666666        0.16666666666666666        0.20833333333333334
25        3        0.12        0.08        0.28        0.16        0.16        0.2
26        1        0.15384615384615385        0.07692307692307693        0.2692307692307692        0.15384615384615385        0.15384615384615385        0.19230769230769232
27        2        0.14814814814814814        0.1111111111111111        0.25925925925925924        0.14814814814814814        0.14814814814814814        0.18518518518518517
28        4        0.14285714285714285        0.10714285714285714        0.25        0.17857142857142858        0.14285714285714285        0.17857142857142858
29        2        0.13793103448275862        0.13793103448275862        0.2413793103448276        0.1724137931034483        0.13793103448275862        0.1724137931034483
30        3        0.13333333333333333        0.13333333333333333        0.26666666666666666        0.16666666666666666        0.13333333333333333        0.16666666666666666
31        4        0.12903225806451613        0.12903225806451613        0.25806451612903225        0.1935483870967742        0.12903225806451613        0.16129032258064516
32        5        0.125        0.125        0.25        0.1875        0.15625        0.15625
33        2        0.12121212121212122        0.15151515151515152        0.24242424242424243        0.18181818181818182        0.15151515151515152        0.15151515151515152
34        3        0.11764705882352941        0.14705882352941177        0.2647058823529412        0.17647058823529413        0.14705882352941177        0.14705882352941177
35        1        0.14285714285714285        0.14285714285714285        0.2571428571428571        0.17142857142857143        0.14285714285714285        0.14285714285714285
36        1        0.16666666666666666        0.1388888888888889        0.25        0.16666666666666666        0.1388888888888889        0.1388888888888889
37        5        0.16216216216216217        0.13513513513513514        0.24324324324324326        0.16216216216216217        0.16216216216216217        0.13513513513513514
38        3        0.15789473684210525        0.13157894736842105        0.2631578947368421        0.15789473684210525        0.15789473684210525        0.13157894736842105
39        1        0.1794871794871795        0.1282051282051282        0.2564102564102564        0.15384615384615385        0.15384615384615385        0.1282051282051282
40        1        0.2        0.125        0.25        0.15        0.15        0.125
41        1        0.21951219512195122        0.12195121951219512        0.24390243902439024        0.14634146341463414        0.14634146341463414        0.12195121951219512
42        2        0.21428571428571427        0.14285714285714285        0.23809523809523808        0.14285714285714285        0.14285714285714285        0.11904761904761904
43        5        0.20930232558139536        0.13953488372093023        0.23255813953488372        0.13953488372093023        0.16279069767441862        0.11627906976744186
44        6        0.20454545454545456        0.13636363636363635        0.22727272727272727        0.13636363636363635        0.1590909090909091        0.13636363636363635
45        5        0.2        0.13333333333333333        0.2222222222222222        0.13333333333333333        0.17777777777777778        0.13333333333333333
46        5        0.1956521739130435        0.13043478260869565        0.21739130434782608        0.13043478260869565        0.1956521739130435        0.13043478260869565
47        1        0.2127659574468085        0.1276595744680851        0.2127659574468085        0.1276595744680851        0.19148936170212766        0.1276595744680851
48        3        0.20833333333333334        0.125        0.22916666666666666        0.125        0.1875        0.125
49        4        0.20408163265306123        0.12244897959183673        0.22448979591836735        0.14285714285714285        0.1836734693877551        0.12244897959183673
50        2        0.2        0.14        0.22        0.14        0.18        0.12
51        2        0.19607843137254902        0.1568627450980392        0.21568627450980393        0.13725490196078433        0.17647058823529413        0.11764705882352941
52        1        0.21153846153846154        0.15384615384615385        0.21153846153846154        0.1346153846153846        0.17307692307692307        0.11538461538461539
53        5        0.20754716981132076        0.1509433962264151        0.20754716981132076        0.1320754716981132        0.18867924528301888        0.11320754716981132
54        5        0.2037037037037037        0.14814814814814814        0.2037037037037037        0.12962962962962962        0.2037037037037037        0.1111111111111111
55        2        0.2        0.16363636363636364        0.2        0.12727272727272726        0.2        0.10909090909090909
56        2        0.19642857142857142        0.17857142857142858        0.19642857142857142        0.125        0.19642857142857142        0.10714285714285714
57        5        0.19298245614035087        0.17543859649122806        0.19298245614035087        0.12280701754385964        0.21052631578947367        0.10526315789473684
58        1        0.20689655172413793        0.1724137931034483        0.1896551724137931        0.1206896551724138        0.20689655172413793        0.10344827586206896
59        2        0.2033898305084746        0.1864406779661017        0.1864406779661017        0.11864406779661017        0.2033898305084746        0.1016949152542373
